Raw Score,NCE,NPR,GE
0,1,1,1.8
1,1,1,2
2,1,1,2.2
3,1,1,2.5
4,1,1,2.7
5,1,1,3.1
6,1,1,3.4
7,1,1,3.8
8,1,1,4.1
9,1,1,4.5
10,1,1,4.9
11,1,1,5.4
12,1,1,5.8
13,7,2,6.2
14,10,3,6.5
15,10,3,6.9
16,15,5,7.3
17,19,7,7.8
18,20,8,8.1
19,23,10,8.7
20,25,12,9.1
21,27,14,9.4
22,31,18,10.1
23,34,22,10.7
24,36,25,11.4
25,38,29,11.9
26,41,33,12.4
27,43,37,13
28,46,42,13
29,48,46,13
30,51,52,13
31,54,58,13
32,56,62,13
33,60,68,13
34,63,73,13
35,66,78,13
36,69,82,13
37,74,87,13
38,78,91,13
39,83,94,13
40,87,96,13
41,90,97,13
42,93,98,13
43,99,99,13
44,99,99,13
45,99,99,13
46,99,99,13
47,99,99,13
48,99,99,13